targets,outputs
4.5004997,-2.1495311
3.1028218,2.2082162
-3.8493752,-1.1524675
-3.7128682,-2.4970684
3.1343756,0.62548923
3.2671027,2.5223064
3.1343756,1.1095877
-4.4249883,0.12651396
-3.134376,-1.8046825
4.0897636,2.502143
4.5004997,1.9774585
3.8493757,1.4728518
-3.134376,-1.6693296
3.678731,1.8367224
-3.134376,-2.7858279
3.1343756,-2.5216713
3.1343756,1.4097877
-3.6787307,-1.9192626
3.678731,0.40631962
-4.5005,-1.1855483
3.1343756,2.2082162
3.2671027,-1.9703727
3.1343756,0.99496746
-3.7128682,0.06858826
3.3973274,1.5484405
-3.6787307,1.7289166
3.8493757,1.3691831
-3.134376,-1.0246048
-3.397327,-0.63378835
-3.1434197,-2.013878
-3.2921467,0.6181755
-3.6787307,-2.13226
-2.9339461,-2.5502927
-2.9781263,-2.4087992
-3.0817857,-2.2591927
3.0817857,0.97984743
-3.8493752,1.4841194
3.1343756,2.015057
-4.5005,1.6786566
4.4551935,-1.0265934
3.1343756,1.3232126
-3.134376,-2.1085794
-4.0897636,0.6793699
-3.1970615,-1.7002099
-3.397327,-1.2676845
-2.7282834,-2.2294881
-3.134376,-0.90550685
-3.5463018,0.98731804
3.8493757,-1.7676826
-3.4868002,-0.7608123
3.1869664,-2.4724135
-3.397327,2.434011
-2.9339461,-1.7748904
2.9781265,2.4203782
3.1343756,0.79274464
-3.134376,-2.452499
3.1343756,2.3087864
-3.438045,0.2037034
-2.9339461,-2.3096042
-3.5106008,-0.5900183
3.2921467,-2.2015932
-3.3358328,0.21342182
-3.134376,-0.8412223
-3.134376,1.0553455
-3.134376,-2.3524227
4.5004997,0.6363344
-3.134376,-2.2698905
-3.0817857,-2.5179727
3.0817857,0.9485717
3.2921467,2.699255
3.607688,2.535109
-3.134376,-2.5663824
3.1970615,1.7789817
3.1343756,0.06252813
-3.0817857,-0.9963651
4.4551935,2.0830293
3.1869664,1.5433817
-3.134376,0.3397255
4.0897636,1.4000411
3.0817857,-1.1831143
-2.9781263,-1.4763565
3.1343756,-0.44821453
2.924015,1.8258853
3.1343756,0.8532448
-3.8493752,-2.3052316
3.1343756,1.150332
-3.134376,-1.2717695
-3.134376,-1.1421988
-3.134376,-1.9050791
3.1343756,2.4265833
3.1343756,1.4747486
-3.5463018,-0.015042782
3.1343756,-0.04032278
3.1343756,-1.4148443
3.2671027,1.835762
3.1343756,1.5367966
3.1343756,2.2012234
-3.438045,-2.2064922
3.1343756,1.8761945
-3.397327,-0.96972585
3.0258207,2.3778982
-3.134376,-2.506447
4.0485916,-0.047537804
-3.0817857,0.008522034
-4.5005,-1.8443694
-3.134376,-0.8310535
3.1343756,1.3033767
-3.1970615,-2.524215
-3.1970615,-2.6874652
-3.134376,-0.39500856
4.4551935,1.974699
3.1343756,0.5445633
-3.134376,-1.0834622
-3.134376,-1.175139
-3.8639019,-2.388462
-3.134376,-2.670216
4.0485916,1.9694409
3.5463018,1.3744512
-3.0816278,-2.4553218
3.1343756,0.5865035
3.1343756,2.3865085
-3.134376,-2.5219436
3.1343756,2.0700579
-3.7128682,-1.5176351
3.0258207,-3.0159864
3.1343756,2.08815
-3.2395563,-2.698256
-3.3447368,-2.3294559
-3.134376,-1.4761703
-3.134376,1.4474306
3.510601,1.4935646
-3.134376,-1.8591018
3.1343756,0.15550375
3.1343756,1.9576039
3.1343756,2.3930578
-2.9339461,-2.031094
3.1343756,0.97984743
-3.134376,-1.4348483
-3.4868002,-0.60917425
-3.0817857,-2.5302734
-3.134376,-2.109795
3.1343756,1.4866037
3.8493757,-1.7483535
-3.0817857,-0.6587367
-3.134376,-2.4209948
3.0817857,1.6313376
3.1343756,3.0434737
3.1343756,2.2070322
-3.134376,-2.8357086
-3.134376,-1.611608
3.1343756,-1.441093
3.8493757,2.8441358
4.0485916,1.9694409
3.1343756,2.5802526
-2.9339461,-2.6121747
3.1343756,2.9506478
-3.134376,-2.4857001
-3.134376,0.102972984
-3.134376,-1.0869737
3.1343756,1.9576039
-3.7466629,-2.13226
-3.397327,-0.37083244
3.1869664,1.9671707
-4.5005,-0.38134193
3.1869664,2.6209126
3.1343756,1.9783835
3.1343756,1.758811
3.1343756,1.6303148
3.1343756,1.9095001
-3.7847886,1.353168
3.1343756,-0.1309433
-3.0817857,-0.95476127
-3.1434197,-2.1761246
3.5463018,-1.7074552
-3.134376,1.2940745
-4.5005,-1.1855483
-3.134376,-1.6220894
3.678731,0.2101717
-3.134376,-2.5804412
-3.397327,-2.9547608
-3.134376,-2.003177
4.5004997,2.2865925
3.1343756,2.133194
3.1343756,1.6503649
3.1970615,2.3577228
-3.134376,-1.0264153
-3.134376,-1.1731021
-3.134376,-2.3316326
3.678731,1.6023126
3.2921467,2.4953318
3.1343756,-0.23551655
-3.134376,0.25234413
-3.438045,-2.1826355
-3.134376,-2.707434
3.8493757,0.026904106
3.3579874,-0.41304493
4.470295,2.1558986
-3.134376,-1.690835
-3.7128682,-1.2991581
-4.0897636,-1.816822
3.1970615,2.5170097
-3.3447368,-2.3442929
3.1800823,0.04698229
-4.0211434,-0.6809931
-3.1869662,-2.597032
-4.5005,-2.1917527
-3.134376,-2.6519225
3.2921467,-2.0778232
-3.134376,-2.2217584
-3.134376,-2.0079865
3.1343756,1.3484035
-3.8493752,-0.007592678
-3.134376,-2.6654735
3.1343756,1.2671142
-3.134376,-2.0718622
-4.2956243,-2.5926123
3.1869664,1.8644814
-3.134376,-1.9178562
3.1970615,0.20118237
-4.5005,-2.024994
-4.5005,-0.81236076
3.1343756,2.1319485
-3.3447368,-1.5415149
3.0258207,2.0770564
-3.134376,-1.4362984
-3.2122858,-2.0331576
-3.397327,-2.0055711
3.3973274,-0.8644438
4.5004997,0.99347687
3.3973274,-1.0356808
3.5025072,0.86653614
-3.11334,-0.2991867
-3.134376,1.9651418
-3.134376,-2.0928123
-3.1869662,-2.640299
3.678731,-2.3253677
-3.134376,-2.6200075
-3.4315543,-2.4233418
-3.134376,-0.47911644
-3.134376,-1.915323
-4.0897636,-2.0269184
-3.0258207,-1.0822873
-3.134376,-2.2529023
3.1343756,1.9630733
-3.134376,-2.4731302
-3.1869662,-2.2619514
-3.134376,-1.974535
-3.134376,0.18761301
4.5004997,0.45389843
3.3447366,1.9488516
3.1343756,0.6810765
3.607688,2.3110094
-4.4249883,-1.9103956
-3.134376,-2.2576778
-3.134376,-1.6883771
3.1343756,0.21439219
-3.3447368,-2.170138
4.5004997,0.49050713
3.1343756,2.3577228
-2.9281578,-1.3833349
3.3973274,2.652769
-3.134376,-1.6124277
3.1343756,1.9465275
-4.5005,-2.5746484
3.1869664,-2.6072803
3.2671027,1.0888577
3.8493757,2.5942316
-3.134376,-2.0186768
-3.134376,-2.257778
3.607688,2.9245367
3.1343756,3.0434737
-3.134376,-0.80908895
-3.134376,-0.28838968
3.5463018,1.9746985
-3.134376,-2.5350432
3.1343756,2.3785048
-3.134376,-2.102882
3.1343756,-1.1678548
-3.0258207,-2.1152303
3.0258207,1.7455626
2.924015,2.3167953
3.1343756,1.1612358
-3.134376,0.1775403
-3.617007,-0.19686794
3.678731,2.0184817
-3.8493752,-2.6152544
-3.134376,-1.5451524
-3.2921467,-0.08801079
-3.6787307,-2.2064922
-3.134376,-1.8645
3.1343756,2.2017941
-3.134376,-2.7924786
3.1343756,1.7724767
-4.4249883,-0.014896393
-3.0817857,-0.35561228
3.1343756,1.6621466
-4.455193,-2.025984
3.0817857,2.0780864
-4.5005,-0.8497641
-3.6787307,-2.1826355
-2.9781263,-1.195548
-3.134376,-1.0822873
-3.134376,-1.4753592
-3.134376,2.0997515
3.1343756,1.9339404
-2.884719,-3.022575
-3.134376,-1.2928355
3.1343756,-0.20158243
-3.134376,-1.6486092
-3.134376,-1.8317723
3.1343756,0.15867901
-3.397327,0.8756671
-3.134376,-2.6053371
2.924015,1.9310331
-3.134376,-2.0208046
3.1343756,1.1745167
-3.267103,-0.81861496
4.0897636,0.41338682
3.1343756,2.2360535
-3.267103,-1.669364
3.1343756,1.4097877
-3.397327,-2.6654735
-3.3447368,-0.09139681
3.2921467,2.992365
-3.2395563,-2.698256
3.1343756,2.034114
3.1970615,2.5315242
-3.134376,-2.9102786
-3.134376,1.1078944
3.1343756,2.2485332
3.1343756,-2.2681644
3.0258207,3.3460631
-3.617007,0.0847621
-3.0258207,-2.2219973
3.1343756,1.8691144
-2.9339461,-2.090297
-4.5005,-2.634677
-3.0817857,-2.1575007
3.11334,1.000843
-3.134376,-1.9040833
3.1343756,-1.4482374
-3.134376,-2.1796708
3.1343756,1.4418001
3.1343756,0.8071165
4.5004997,0.23520899
-3.134376,-2.1653779
-3.2395563,-2.6238914
-3.4868002,1.8199544
3.1343756,1.4890594
-3.0258207,-2.2237601
3.1343756,2.2360535
3.1343756,1.7029133
3.4380455,2.4188652
3.1869664,0.56720686
-3.0817857,-0.29377842
-4.5005,-2.634677
4.4551935,1.8287354
-3.7128682,-2.432033
3.1343756,0.58995533
3.1343756,1.2791657
3.1343756,2.6895814
-3.987349,-2.729332
3.3973274,-1.4359212
-3.134376,-2.3817735
3.1343756,-0.15464497
-3.0817857,-2.129984
-3.2921467,-2.4506457
-3.6787307,-1.4279025
-3.0817857,0.48981714
3.1869664,0.3638053
-4.5005,-1.2200704
-3.0817857,-2.5302734
-2.9339461,-1.8480644
-3.134376,-1.9867582
3.1343756,2.3568945
3.1343756,0.26916885
-3.0258207,-2.184755
3.1343756,1.5085292
3.1343756,0.6404743
-3.134376,-2.1490626
3.1343756,2.075984
-3.2921467,0.02165842
3.1869664,2.1204815
3.1343756,0.711401
4.4551935,1.5091457
-4.0431356,-2.3583083
3.1343756,-0.087623596
-3.134376,-2.816924
3.1343756,-2.5937734
3.0258207,2.7738795
-3.4868002,0.6089058
-3.1970615,-2.4485152
-3.134376,-2.3465922
3.2395563,2.2955117
-3.397327,0.44986343
-3.134376,-1.7521873
3.678731,2.3961177
2.9781265,1.1591959
-3.7128682,-2.39639
-3.267103,1.6062689
3.1343756,1.8761945
3.607688,2.9343033
3.1343756,1.7938509
-2.924015,-2.1180487
4.5004997,-0.8497641
3.1343756,2.769897
3.1343756,1.6104488
3.1343756,2.7442589
3.1343756,1.9576039
-3.134376,-2.6654735
-3.11334,-1.6486092
3.1343756,2.1862526
3.8493757,1.3892908
-3.134376,-2.1917527
-3.0260031,-2.5357356
2.8714247,-1.0257428
3.678731,-0.3004036
-3.3127801,-1.5748789
-3.267103,-2.468861
-3.134376,1.855526
3.0817857,1.7501187
-4.5005,-2.3426437
-3.134376,-2.129984
3.1343756,2.6895814
-3.134376,-2.16368
-3.134376,0.14917564
-3.134376,-2.2719293
3.1343756,1.2664652
3.1343756,1.7529039
3.1343756,-2.2681644
-3.134376,-2.385815
-2.9750519,-2.9948096
3.9797258,2.683648
-3.267103,-2.3681247
-3.134376,-2.387537
3.1343756,0.77032137
3.1343756,2.1217647
-2.9339461,-2.2064922
-3.3447368,-2.2481885
3.2671027,2.2646203
-3.4034338,-0.6903899
-3.134376,-2.4729595
-3.2921467,-2.6654735
-4.5005,-1.5372105
-3.134376,1.3129864
-3.1970615,-1.0822873
-3.607688,-0.95089936
3.1869664,2.346169
-3.6787307,-1.4588852
-2.9339461,0.32393026
-3.134376,-2.3326912
3.2921467,2.2091103
-3.6787307,-2.3508976
-3.0817857,-1.0002885
-3.134376,-0.58190036
3.2395563,2.2874131
3.1343756,3.1019416
3.1869664,2.1204815
-3.7128682,-1.8106525
-3.134376,-2.0104609
3.3973274,-1.4558456
-3.134376,-2.3465922
-3.267103,-2.0383399
3.0817857,0.97984743
-3.134376,-2.2854218
-3.1970615,-2.3986912
3.1343756,2.2360535
-3.134376,-0.9681525
3.678731,0.3533659
3.3447366,2.3934112
-3.134376,-1.2928355
4.5004997,2.027851
3.4315543,2.9978948
-3.134376,0.026238918
3.1869664,-0.70349455
-4.5005,-1.2124867
-3.607688,2.1708245
-3.134376,-1.8878744
3.1343756,-1.8369639
3.1343756,0.6198392
-3.397327,-2.266992
3.1343756,-0.05719757
3.1343756,1.861978
-3.11334,-0.8707609
-3.397327,-0.63378835
3.1869664,1.8324795
3.1343756,2.1731744
3.1343756,1.8172226
-3.134376,0.7135825
3.3973274,-2.19577
3.607688,2.2003865
3.1343756,2.075984
-3.397327,2.1626844
-3.134376,-2.5791566
-4.0897636,-1.5372105
3.5463018,2.962708
-3.134376,-1.533834
3.2279692,0.21342182
3.1343756,2.4821796
-3.134376,-1.7305055
-3.134376,-1.8301704
2.9288516,2.3030314
3.1343756,2.086238
-3.7128682,-2.8032763
-3.134376,-2.0272152
